titre,prix,emplacement,type_de_vente,salon,chambre,toilette,surface,lien
Élégant Appartement Neuf à Rabat avec Piscine,10 000 DH,Rabat,NaN,1,NaN,NaN,108,https://www.avito.ma/fr/autre_secteur/appartements/%C3%89l%C3%A9gant_Appartement_Neuf_%C3%A0_Rabat_avec_Piscine_55412951.htm
RBA-HA-1054 - Appartement à vendre à L'Ocean,1 200 000 DH,Rabat,"Appartements, à vendre",NaN,1,1,84,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/RBA_HA_1054___Appartement_%C3%A0_vendre_%C3%A0_L_Ocean_54936810.htm
Bel appartement à gueliz centre,400 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Bel_appartement_%C3%A0_gueliz_centre__55139714.htm
Appartement meublé à louer 80 m² à Casablanca,7 500 DH,Casablanca,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/maarif/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_80_m%C2%B2_%C3%A0_Casablanca_55627155.htm
Apt/Bon prix/Café Waw FarahEssalem Grand Boulevard,285 000 DH,Casablanca,"Appartements, à vendre",1,2,1,56,https://www.avito.ma/fr/hay_hassani/appartements/Apt_Bon_prix_Caf%C3%A9_Waw_FarahEssalem_Grand_Boulevard_55194303.htm
Apt Ensoleillé familial Propre 4ème Étg Riad Oulfa,280 000 DH,Casablanca,"Appartements, à vendre",1,2,1,56,https://www.avito.ma/fr/oulfa/appartements/Apt_Ensoleill%C3%A9_familial_Propre_4%C3%A8me_%C3%89tg_Riad_Oulfa_55533976.htm
locaux commerciaux de 40M2 a louer victoria,2 000 DH,Bouskoura,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/victoria/local/locaux_commerciaux_de_40M2_a__louer__victoria___55724338.htm
Appartement 2 ch vide à louer au Parc presque neuf,4 500 DH,Mohammedia,NaN,1,NaN,NaN,81,https://www.avito.ma/fr/quartier_du_parc/appartements/Appartement_2_ch_vide_%C3%A0_louer_au_Parc_presque_neuf_55075845.htm
Apt Ensoleillé 2Chambres 0Salon Roudani Maarif,4 000 DH,Casablanca,NaN,0,NaN,NaN,70,https://www.avito.ma/fr/centre_ville/appartements/Apt_Ensoleill%C3%A9_2Chambres_0Salon_Roudani_Maarif_55191413.htm
Apt Investissement/Habitation CaféWaw FarahEssalem,285 000 DH,Casablanca,"Appartements, à vendre",1,2,1,56,https://www.avito.ma/fr/oulfa/appartements/Apt_Investissement_Habitation_Caf%C3%A9Waw_FarahEssalem_55194295.htm
Jolie Appartement à vendre 131 m² à Casablanca,1 780 000 DH,Casablanca,"Appartements, à vendre",2,3,2,131,https://www.avito.ma/fr/maarif/appartements/Jolie_Appartement_%C3%A0_vendre_131_m%C2%B2_%C3%A0_Casablanca_55644011.htm
Appartement à vendre 117 m² à Fès,800 000 DH,Fès,"Appartements, à vendre",2,3,2,117,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_F%C3%A8s_55135710.htm
Appartement de 3 chambres et salon a ain sebaa,4 500 DH,Casablanca,NaN,1,NaN,NaN,85,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_de_3_chambres_et_salon_a_ain_sebaa_55553069.htm
spacieux appartement moulay driss 1,1 350 000 DH,Casablanca,"Appartements, à vendre",2,2,1,140,https://www.avito.ma/fr/2_mars/appartements/spacieux_appartement__moulay_driss_1_54352231.htm
bel AptMeublé SécuriséEnsoleillé/Casa Finance City,10 000 DH,Casablanca,NaN,2,NaN,NaN,120,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/bel_AptMeubl%C3%A9_S%C3%A9curis%C3%A9Ensoleill%C3%A9_Casa_Finance_City_54788388.htm
Appartement à vendre sur l'agdal,2 150 000 DH,Rabat,"Appartements, à vendre",2,3,2,129,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_sur_l_agdal_54347841.htm
appartement en rez de chaussée,250 DH /Nuit,Asilah,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/asilah/locations_de_vacances/appartement_en_rez_de_chauss%C3%A9e_55724323.htm
appartement 3 façade,1 300 000 DH,Casablanca,"Appartements, à vendre",2,3,3,138,https://www.avito.ma/fr/roches_noires/appartements/appartement_3_fa%C3%A7ade__53964628.htm
Appartement hamria meublé,250 DH /Nuit,Meknès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hamria/locations_de_vacances/Appartement_hamria_meubl%C3%A9_27595711.htm
Appartement 3 ch à vendre 80 m² à Bouskoura,690 000 DH,Bouskoura,"Appartements, à vendre",1,3,2,80,https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_3_ch_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Bouskoura_54976383.htm
Appartement à vendre sur Prestigia Hay Riad,3 600 000 DH,Rabat,"Appartements, à vendre",1,3,3,174,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_sur_Prestigia_Hay_Riad_54975945.htm
Appartement meublé à louer sur Hay Riad Prestigia,10 000 DH,Rabat,NaN,1,NaN,NaN,50,https://www.avito.ma/fr/hay_riad/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_sur_Hay_Riad_Prestigia_55691069.htm
Très bel apt meublé/Haut-Standing/Abdelmoumene,11 000 DH,Casablanca,NaN,2,NaN,NaN,120,https://www.avito.ma/fr/palmier/appartements/Tr%C3%A8s_bel_apt_meubl%C3%A9_Haut_Standing_Abdelmoumene__55193278.htm
Apt Sécurisé/Écoles Le Cèdre/Mundiapolis,11 800 DH,Casablanca,"Appartements, à vendre",2,2,2,87,https://www.avito.ma/fr/palmier/appartements/Apt_S%C3%A9curis%C3%A9_%C3%89coles_Le_C%C3%A8dre_Mundiapolis_55561307.htm
Appartement cournich malabata tanger,300 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/Appartement_cournich_malabata_tanger__55218196.htm
Apt PresqueNeuf Rez-deChaussée CaféTwin AzharOulfa,380 000 DH,Casablanca,"Appartements, à vendre",1,2,1,56,https://www.avito.ma/fr/oulfa/appartements/Apt_PresqueNeuf_Rez_deChauss%C3%A9e_Caf%C3%A9Twin_AzharOulfa_54887425.htm
Appartement bureau à louer sur l'Agdal,12 000 DH,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/bureaux/Appartement_bureau_%C3%A0_louer_sur_l_Agdal_55673964.htm
Appartement à louer 77 m² à Zenata,3 500 DH,Zenata,NaN,1,NaN,NaN,77,https://www.avito.ma/fr/zenata/appartements/Appartement_%C3%A0_louer_77_m%C2%B2_%C3%A0_Zenata_55453005.htm
Appartement à louer à Tanger,300 DH,Tanger,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_louer_%C3%A0_Tanger_55606989.htm
sublime appartement sur agdal,699 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/sublime_appartement_sur_agdal_54222732.htm
Appartement à vendre 117 m² à Agadir,1 700 000 DH,Agadir,"Appartements, à vendre",2,2,2,117,https://www.avito.ma/fr/haut_founty/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Agadir_54214470.htm
Appartement location de vacances à Casablanca,500 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Casablanca_54166786.htm
belle grande appartement,460 000 DH,Mohammedia,"Appartements, à vendre",3,3,2,70,https://www.avito.ma/fr/centre_ville/appartements/belle_grande_appartement__55546936.htm
Propre appartement familiale,500 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/55689026.htm
appartement meuble a vendre quartier moudjahidine,2 400 000 DH,Tanger,"Appartements, à vendre",1,3,2,161,https://www.avito.ma/vi/54862695.htm
Jolie appartement a louer à islan,300 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_mohammadi/locations_de_vacances/Jolie_appartement_a_louer_%C3%A0_islan__54939597.htm
Appartement à vendre 67 m² à Mehdia,700 000 DH,Mehdia,"Appartements, à vendre",1,1,1,67,https://www.avito.ma/fr/mehdia/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_Mehdia_55724306.htm
Apt Sécurisé 3Ch/160M 2Places Parking Inwi 2Mars,8 000 DH,Casablanca,NaN,2,NaN,NaN,160,https://www.avito.ma/fr/centre_ville/appartements/Apt_S%C3%A9curis%C3%A9_3Ch_160M_2Places_Parking_Inwi_2Mars_55137991.htm
Magnifique appartement à louer,9 500 DH,Casablanca,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/oasis/appartements/Magnifique_appartement_%C3%A0_louer__55600259.htm
Appartement location de vacances d'Asilah,800 DH /Nuit,Asilah,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/asilah/locations_de_vacances/_Appartement_location_de_vacances_d_Asilah_54775793.htm
LUXE APPARTEMENT,220 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_dakhla/locations_de_vacances/LUXE_APPARTEMENT__54918164.htm
Appartement à louer sur Hay Riad,13 000 DH,Rabat,NaN,2,NaN,NaN,180,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_sur_Hay_Riad_55557971.htm
شقة مطلة على البحر وسط المدينة بدون سمسار,500 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/%D8%B4%D9%82%D8%A9_%D9%85%D8%B7%D9%84%D8%A9_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D9%88%D8%B3%D8%B7_%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A8%D8%AF%D9%88%D9%86_%D8%B3%D9%85%D8%B3%D8%A7%D8%B1__54450439.htm
Appartement,NaN,Fès,"Appartements, à vendre",1,NaN,NaN,83,https://www.avito.ma/fr/hay_saada/appartements/Appartement__54697653.htm
Appartement 86 m² à Bouskoura Odyssia,860 000 DH,Bouskoura,"Appartements, à vendre",2,2,2,86,https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement__86_m%C2%B2_%C3%A0_Bouskoura_Odyssia_49763194.htm
Appartement vue sur piscine et mer,400 DH /Nuit,El Mansouria,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/el_mansouria/locations_de_vacances/Appartement_vue_sur_piscine_et_mer_55221314.htm
Appartement à vendre 86 m² à Casablanca Oasis,1 690 000 DH,Casablanca,"Appartements, à vendre",1,2,2,86,https://www.avito.ma/fr/oasis/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Casablanca_Oasis_54644997.htm
Charmant appart. avec terrasse privative Agdal,NaN,Rabat,"Appartements, à vendre",NaN,NaN,NaN,91,https://www.avito.ma/fr/agdal/appartements/Charmant_appart__avec_terrasse_privative__Agdal__55711874.htm
Vente Appartement 7 pièces de 250 m2 à Casablanca,3 300 000 DH,Casablanca,"Appartements, à vendre",NaN,4,3,250,https://www.avito.ma/fr/val_fleuri/appartements/Vente_Appartement_7_pi%C3%A8ces_de_250_m2_%C3%A0_Casablanca_55724285.htm
Appartement ensoleillé 80 m² à Beausejour Tramway,3 800 DH,Casablanca,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_ensoleill%C3%A9_80_m%C2%B2_%C3%A0_Beausejour_Tramway_55724283.htm
Appartement n9iya a essouira center vill,200 DH /Nuit,Essaouira,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Appartement_n9iya_a_essouira_center_vill__55724280.htm
Appartement à vendre 120 m² Centre ville,NaN,Agadir,"Appartements, à vendre",1,NaN,NaN,120,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_Centre_ville_55568330.htm
Appartement à vendre 103m² victoria à Bouskoura,9 000 DH,Bouskoura,"Appartements, à vendre",2,3,2,103,https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_103m%C2%B2_victoria_%C3%A0_Bouskoura_55724277.htm
Appartement à vendre 64 m² à Casablanca,8 500 DH,Casablanca,"Appartements, à vendre",NaN,2,NaN,64,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_37621456.htm
